Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
1,1000,1000,215.0,4.905,45.515,2055.0,2460.0,390.0,-405.0,4.905,45.515,2055.0,2460.0,390.0,-405.0
2,2000,1000,106.0,3.6,48.126,3210.0,3460.0,530.0,-250.0,2.295,53.596,1155.0,1000.0,140.0,155.0
3,3000,1000,194.0,4.077,49.689,5600.0,5670.0,960.0,-70.0,5.03,51.957,2390.0,2210.0,430.0,180.0
4,4000,1000,179.0,4.264,48.277,7495.0,8030.0,1530.0,-535.0,4.825,44.536,1895.0,2360.0,570.0,-465.0
5,5000,1000,110.0,3.85,48.229,8440.0,9060.0,1750.0,-620.0,2.195,47.848,945.0,1030.0,220.0,-85.0
6,6000,1000,144.0,3.738,50.589,10300.0,10060.0,2070.0,240.0,3.18,65.035,1860.0,1000.0,320.0,860.0
7,7000,1000,130.0,3.676,51.223,12045.0,11470.0,2220.0,575.0,3.305,55.309,1745.0,1410.0,150.0,335.0
8,8000,1000,137.0,3.661,52.147,14025.0,12870.0,2390.0,1155.0,3.55,58.58,1980.0,1400.0,170.0,580.0
9,9000,1000,145.0,3.637,51.975,15660.0,14470.0,2600.0,1190.0,3.445,50.541,1635.0,1600.0,210.0,35.0
10,10000,1000,163.0,3.674,51.071,17170.0,16450.0,3120.0,720.0,4.01,43.266,1510.0,1980.0,520.0,-470.0
11,11000,1000,279.0,4.044,51.135,20845.0,19920.0,3720.0,925.0,7.745,51.435,3675.0,3470.0,600.0,205.0
12,12000,1000,105.0,3.85,51.325,21690.0,20570.0,3940.0,1120.0,1.715,56.522,845.0,650.0,220.0,195.0
13,13000,1000,170.0,3.948,51.354,24175.0,22900.0,4250.0,1275.0,5.125,51.61,2485.0,2330.0,310.0,155.0
14,14000,1000,220.0,4.067,51.194,26685.0,25440.0,4820.0,1245.0,5.62,49.703,2510.0,2540.0,570.0,-30.0
15,15000,1000,106.0,3.974,51.47,28095.0,26490.0,5030.0,1605.0,2.67,57.317,1410.0,1050.0,210.0,360.0
16,16000,1000,203.0,4.089,51.584,30770.0,28880.0,5780.0,1890.0,5.815,52.813,2675.0,2390.0,750.0,285.0
17,17000,1000,118.0,4.014,51.519,32060.0,30170.0,6010.0,1890.0,2.81,50.0,1290.0,1290.0,230.0,0.0
18,18000,1000,177.0,4.039,51.072,33820.0,32400.0,6490.0,1420.0,4.47,44.11,1760.0,2230.0,480.0,-470.0
19,19000,1000,203.0,4.215,51.075,37290.0,35720.0,7080.0,1570.0,7.38,51.105,3470.0,3320.0,590.0,150.0
20,20000,1000,122.0,4.145,51.288,38735.0,36790.0,7370.0,1945.0,2.805,57.455,1445.0,1070.0,290.0,375.0
21,21000,1000,116.0,4.088,51.514,40225.0,37860.0,7760.0,2365.0,2.95,58.203,1490.0,1070.0,390.0,420.0
22,22000,1000,161.0,4.1,51.348,42185.0,39970.0,8040.0,2215.0,4.35,48.157,1960.0,2110.0,280.0,-150.0
23,23000,1000,211.0,4.167,50.601,44190.0,43140.0,8500.0,1050.0,5.635,38.744,2005.0,3170.0,460.0,-1165.0
24,24000,1000,129.0,4.108,50.818,45640.0,44170.0,8790.0,1470.0,2.77,58.468,1450.0,1030.0,290.0,420.0
25,25000,1000,133.0,4.052,50.931,47030.0,45310.0,8960.0,1720.0,2.7,54.941,1390.0,1140.0,170.0,250.0
26,26000,1000,175.0,4.025,50.942,48535.0,46740.0,9370.0,1795.0,3.345,51.278,1505.0,1430.0,410.0,75.0
27,27000,1000,117.0,3.948,50.961,49465.0,47600.0,9540.0,1865.0,1.96,51.955,930.0,860.0,170.0,70.0
28,28000,1000,158.0,3.936,50.874,51075.0,49320.0,9800.0,1755.0,3.59,48.348,1610.0,1720.0,260.0,-110.0
29,29000,1000,149.0,3.953,50.889,53230.0,51370.0,10030.0,1860.0,4.435,51.249,2155.0,2050.0,230.0,105.0
30,30000,1000,262.0,4.091,51.638,57850.0,54180.0,10690.0,3670.0,8.09,62.18,4620.0,2810.0,660.0,1810.0
31,31000,1000,147.0,4.065,51.536,59315.0,55780.0,10930.0,3535.0,3.305,47.798,1465.0,1600.0,240.0,-135.0
32,32000,1000,140.0,4.086,51.166,61200.0,58410.0,11140.0,2790.0,4.725,41.75,1885.0,2630.0,210.0,-745.0
33,33000,1000,168.0,4.073,51.327,63050.0,59790.0,11570.0,3260.0,3.66,57.276,1850.0,1380.0,430.0,470.0
34,34000,1000,131.0,4.061,51.464,64925.0,61230.0,11910.0,3695.0,3.655,56.561,1875.0,1440.0,340.0,435.0
35,35000,1000,231.0,4.113,51.676,67895.0,63490.0,12570.0,4405.0,5.89,56.788,2970.0,2260.0,660.0,710.0
36,36000,1000,98.0,4.092,51.95,69875.0,64630.0,12820.0,5245.0,3.37,63.462,1980.0,1140.0,250.0,840.0
37,37000,1000,111.0,4.049,51.951,71015.0,65680.0,13120.0,5335.0,2.49,52.055,1140.0,1050.0,300.0,90.0
38,38000,1000,216.0,4.094,51.632,73390.0,68750.0,13430.0,4640.0,5.755,43.618,2375.0,3070.0,310.0,-695.0
39,39000,1000,161.0,4.066,51.766,75040.0,69920.0,13610.0,5120.0,3.0,58.511,1650.0,1170.0,180.0,480.0
40,40000,1000,192.0,4.067,51.608,76765.0,71980.0,13950.0,4785.0,4.125,45.575,1725.0,2060.0,340.0,-335.0
41,41000,1000,223.0,4.148,51.526,80170.0,75420.0,14470.0,4750.0,7.365,49.744,3405.0,3440.0,520.0,-35.0
42,42000,1000,214.0,4.157,51.309,82005.0,77820.0,14780.0,4185.0,4.545,43.329,1835.0,2400.0,310.0,-565.0
43,43000,1000,164.0,4.174,51.077,83940.0,80400.0,15160.0,3540.0,4.895,42.857,1935.0,2580.0,380.0,-645.0
44,44000,1000,186.0,4.198,51.121,86325.0,82540.0,15860.0,3785.0,5.225,52.707,2385.0,2140.0,700.0,245.0
45,45000,1000,199.0,4.211,51.093,88435.0,84650.0,16400.0,3785.0,4.76,50.0,2110.0,2110.0,540.0,0.0
46,46000,1000,200.0,4.202,51.215,90335.0,86050.0,16930.0,4285.0,3.83,57.576,1900.0,1400.0,530.0,500.0
47,47000,1000,212.0,4.245,51.061,92965.0,89100.0,17460.0,3865.0,6.21,46.303,2630.0,3050.0,530.0,-420.0
48,48000,1000,164.0,4.248,50.981,94745.0,91100.0,18040.0,3645.0,4.36,47.09,1780.0,2000.0,580.0,-220.0
49,49000,1000,131.0,4.214,50.953,95940.0,92350.0,18210.0,3590.0,2.615,48.875,1195.0,1250.0,170.0,-55.0
50,50000,1000,194.0,4.229,51.114,98555.0,94260.0,18660.0,4295.0,4.975,57.79,2615.0,1910.0,450.0,705.0
51,51000,1000,164.0,4.244,51.309,101225.0,96060.0,19180.0,5165.0,4.99,59.732,2670.0,1800.0,520.0,870.0
52,52000,1000,269.0,4.326,51.419,105440.0,99620.0,19910.0,5820.0,8.505,54.212,4215.0,3560.0,730.0,655.0
53,53000,1000,267.0,4.38,51.448,108890.0,102760.0,20470.0,6130.0,7.15,52.352,3450.0,3140.0,560.0,310.0
54,54000,1000,203.0,4.388,51.476,111230.0,104850.0,20850.0,6380.0,4.81,52.822,2340.0,2090.0,380.0,250.0
55,55000,1000,195.0,4.397,51.448,113445.0,107060.0,21340.0,6385.0,4.915,50.056,2215.0,2210.0,490.0,5.0
56,56000,1000,197.0,4.423,51.477,116250.0,109580.0,21870.0,6670.0,5.855,52.676,2805.0,2520.0,530.0,285.0
57,57000,1000,142.0,4.411,51.339,117635.0,111500.0,22280.0,6135.0,3.715,41.906,1385.0,1920.0,410.0,-535.0
58,58000,1000,135.0,4.395,51.256,119120.0,113280.0,22490.0,5840.0,3.475,45.482,1485.0,1780.0,210.0,-295.0
59,59000,1000,217.0,4.405,51.377,121810.0,115280.0,22810.0,6530.0,5.01,57.356,2690.0,2000.0,320.0,690.0
60,60000,1000,121.0,4.394,51.35,123440.0,116950.0,23250.0,6490.0,3.74,49.394,1630.0,1670.0,440.0,-40.0
61,61000,1000,134.0,4.371,51.306,124730.0,118380.0,23520.0,6350.0,2.99,47.426,1290.0,1430.0,270.0,-140.0
62,62000,1000,160.0,4.363,51.355,126665.0,119980.0,23860.0,6685.0,3.875,54.738,1935.0,1600.0,340.0,335.0
63,63000,1000,156.0,4.353,51.265,128260.0,121930.0,24050.0,6330.0,3.735,44.993,1595.0,1950.0,190.0,-355.0
64,64000,1000,149.0,4.344,51.195,129895.0,123830.0,24270.0,6065.0,3.755,46.252,1635.0,1900.0,220.0,-265.0
65,65000,1000,204.0,4.378,51.325,133185.0,126310.0,25060.0,6875.0,6.56,57.019,3290.0,2480.0,790.0,810.0
66,66000,1000,103.0,4.346,51.292,134210.0,127450.0,25200.0,6760.0,2.305,47.344,1025.0,1140.0,140.0,-115.0
67,67000,1000,123.0,4.334,51.367,136105.0,128860.0,25400.0,7245.0,3.505,57.337,1895.0,1410.0,200.0,485.0
68,68000,1000,100.0,4.296,51.339,136880.0,129740.0,25540.0,7140.0,1.795,46.828,775.0,880.0,140.0,-105.0
69,69000,1000,116.0,4.27,51.36,138075.0,130760.0,25800.0,7315.0,2.475,53.95,1195.0,1020.0,260.0,175.0
70,70000,1000,165.0,4.264,51.38,140010.0,132490.0,25990.0,7520.0,3.855,52.797,1935.0,1730.0,190.0,205.0
71,71000,1000,156.0,4.257,51.284,141535.0,134450.0,26250.0,7085.0,3.745,43.759,1525.0,1960.0,260.0,-435.0
72,72000,1000,160.0,4.25,51.286,143285.0,136100.0,26640.0,7185.0,3.79,51.471,1750.0,1650.0,390.0,100.0
73,73000,1000,154.0,4.249,51.236,144985.0,137990.0,27180.0,6995.0,4.13,47.354,1700.0,1890.0,540.0,-190.0
74,74000,1000,136.0,4.236,51.183,146365.0,139600.0,27480.0,6765.0,3.29,46.154,1380.0,1610.0,300.0,-230.0
75,75000,1000,236.0,4.259,51.199,149250.0,142260.0,27930.0,6990.0,5.995,52.029,2885.0,2660.0,450.0,225.0
76,76000,1000,195.0,4.278,51.116,151600.0,144980.0,28570.0,6620.0,5.71,46.351,2350.0,2720.0,640.0,-370.0
77,77000,1000,190.0,4.288,51.156,154125.0,147160.0,28910.0,6965.0,5.045,53.666,2525.0,2180.0,340.0,345.0
78,78000,1000,124.0,4.263,51.211,155355.0,148010.0,29150.0,7345.0,2.32,59.135,1230.0,850.0,240.0,380.0
79,79000,1000,180.0,4.25,51.198,156820.0,149480.0,29480.0,7340.0,3.265,49.915,1465.0,1470.0,330.0,-5.0
80,80000,1000,182.0,4.255,51.252,159190.0,151410.0,29760.0,7780.0,4.58,55.116,2370.0,1930.0,280.0,440.0
81,81000,1000,120.0,4.238,51.166,160285.0,152980.0,30000.0,7305.0,2.905,41.088,1095.0,1570.0,240.0,-475.0
82,82000,1000,89.0,4.213,51.169,161330.0,153960.0,30180.0,7370.0,2.205,51.605,1045.0,980.0,180.0,65.0
83,83000,1000,193.0,4.223,51.068,163300.0,156470.0,30750.0,6830.0,5.05,43.973,1970.0,2510.0,570.0,-540.0
84,84000,1000,185.0,4.228,51.107,165685.0,158510.0,30990.0,7175.0,4.665,53.898,2385.0,2040.0,240.0,345.0
85,85000,1000,157.0,4.236,51.286,168520.0,160070.0,31500.0,8450.0,4.905,64.505,2835.0,1560.0,510.0,1275.0
86,86000,1000,123.0,4.225,51.276,170065.0,161600.0,31680.0,8465.0,3.255,50.244,1545.0,1530.0,180.0,15.0
87,87000,1000,259.0,4.263,51.228,173375.0,165060.0,32450.0,8315.0,7.54,48.892,3310.0,3460.0,770.0,-150.0
88,88000,1000,165.0,4.257,51.217,175040.0,166720.0,32820.0,8320.0,3.695,50.075,1665.0,1660.0,370.0,5.0
89,89000,1000,165.0,4.264,51.147,177085.0,169140.0,33280.0,7945.0,4.925,45.801,2045.0,2420.0,460.0,-375.0
90,90000,1000,158.0,4.251,51.172,178590.0,170410.0,33630.0,8180.0,3.125,54.234,1505.0,1270.0,350.0,235.0
91,91000,1000,198.0,4.254,51.144,180575.0,172500.0,34010.0,8075.0,4.455,48.712,1985.0,2090.0,380.0,-105.0
92,92000,1000,125.0,4.231,51.133,181565.0,173520.0,34190.0,8045.0,2.19,49.254,990.0,1020.0,180.0,-30.0
93,93000,1000,148.0,4.216,51.082,182765.0,175020.0,34330.0,7745.0,2.84,44.444,1200.0,1500.0,140.0,-300.0
94,94000,1000,193.0,4.226,51.047,184935.0,177350.0,34920.0,7585.0,5.09,48.222,2170.0,2330.0,590.0,-160.0
95,95000,1000,105.0,4.208,51.061,186095.0,178360.0,35310.0,7735.0,2.56,53.456,1160.0,1010.0,390.0,150.0
96,96000,1000,250.0,4.239,51.073,189505.0,181540.0,35880.0,7965.0,7.16,51.745,3410.0,3180.0,570.0,230.0
97,97000,1000,243.0,4.27,51.041,192890.0,185020.0,36290.0,7870.0,7.275,49.308,3385.0,3480.0,410.0,-95.0
98,98000,1000,135.0,4.256,51.032,194245.0,186390.0,36490.0,7855.0,2.925,49.725,1355.0,1370.0,200.0,-15.0
99,99000,1000,197.0,4.266,50.982,196405.0,188840.0,37070.0,7565.0,5.19,46.855,2160.0,2450.0,580.0,-290.0
100,100000,1000,181.0,4.263,50.93,198115.0,190880.0,37290.0,7235.0,3.97,45.6,1710.0,2040.0,220.0,-330.0
